,CCR3,PDGFRL,FMO1,TCTEX1D1,SELENOP,CDH10
TCGA.F1.6177.01,0.0043,0.2209,0.7801,0.0273,0.7605,0
TCGA.HU.A4GP.01,0.0404,0.2653,0.1564,0.0507,1.1406,0.0143
TCGA.VQ.A91Q.01,0.0802,1.2648,1.3921,0.4111,4.125,0
TCGA.HU.8608.01,0.0841,0.1021,0.2108,0.1576,2.8239,0
TCGA.CD.A486.01,0.1002,4.1474,0.7247,0.2625,1.1331,0.013
TCGA.VQ.A924.01,0.0064,0.7092,0.7877,0.1703,0.5698,0
TCGA.CD.5799.01,0.0051,1.9943,0.4516,0.1721,2.4804,0
TCGA.RD.A7C1.01,0.912,1.2124,0.8886,0.5398,2.1718,0.5684
TCGA.CG.4465.01,0.1805,1.8506,0.9231,0.3433,3.0517,0.0327
TCGA.BR.7716.01,0.1126,0.7998,0.7942,0.0399,76.2903,0.0266
TCGA.CG.4475.01,0.3003,3.6201,0.3538,0.6292,9.1246,0.0475
TCGA.VQ.A91Z.01,2.0914,0.0839,0.0902,0.0564,0.4529,0
TCGA.VQ.A8PU.01,0.0244,3.3255,0.1211,0.0454,1.0385,0
TCGA.D7.6527.01,0.0869,3.0137,0.2854,0.0825,3.0721,0.0045
TCGA.VQ.A91N.01,0.1602,3.0805,0.1249,0.0507,9.1154,0
TCGA.F1.A448.01,0.1209,0.5903,0.7334,0.2647,2.1654,0.011
TCGA.MX.A666.01,0.2645,0.358,0.3865,0.1519,8.7133,0
TCGA.BR.8080.01,0.327,6.3432,2.0624,0.2299,9.8606,0.1168
TCGA.BR.4367.01,0.2437,1.7658,1.0014,0.3964,6.2805,0.0455
TCGA.VQ.A91S.01,0.1181,0.2952,0.169,0.0802,9.3514,0.0032
TCGA.HU.A4H5.01,0.0526,0.3344,0.0195,0.1605,1.3385,0
TCGA.IN.A6RN.01,0.0272,1.1647,0.1214,0.0434,4.063,0
TCGA.FP.7916.01,0.0653,2.0991,0.9273,0.2774,4.2042,0.0552
TCGA.IN.8663.01,0.7321,0.0916,0.1011,0.0754,0.1784,0
TCGA.BR.8590.01,0.0387,6.084,2.3695,0.2054,5.9165,0.1697
TCGA.CG.5718.01,0.0881,0.3823,0.1599,0.0675,11.24,0.4101
TCGA.BR.8682.01,0.0673,2.5397,7.4811,0.2264,13.6269,0.1367
